context: Auntie, are you really going to marry the Crown Prince? response:	I have to marry him sooner or later.
context: What exactly is it?\I don't really know the details.\It's just that Third Prince's girlfriend has asked me to pass on a message.\She asked that you visit her in the Nine Heavens.\Lady Cheng Yu?\Exactly.\Lady Cheng Yu always acts very cautiously.\If it weren't an important matter response:	she wouldn't have asked Auntie to approach me for her.
context: I don't really know the details.\It's just that Third Prince's girlfriend has asked me to pass on a message.\She asked that you visit her in the Nine Heavens.\Lady Cheng Yu?\Exactly.\Lady Cheng Yu always acts very cautiously.\If it weren't an important matter\she wouldn't have asked Auntie to approach me for her. response:	I don't know the details.
context: It's just that Third Prince's girlfriend has asked me to pass on a message.\She asked that you visit her in the Nine Heavens.\Lady Cheng Yu?\Exactly.\Lady Cheng Yu always acts very cautiously.\If it weren't an important matter\she wouldn't have asked Auntie to approach me for her.\I don't know the details. response:	However, judging from her expression
context: She asked that you visit her in the Nine Heavens.\Lady Cheng Yu?\Exactly.\Lady Cheng Yu always acts very cautiously.\If it weren't an important matter\she wouldn't have asked Auntie to approach me for her.\I don't know the details.\However, judging from her expression response:	it seems to be a serious matter.
context: Lady Cheng Yu?\Exactly.\Lady Cheng Yu always acts very cautiously.\If it weren't an important matter\she wouldn't have asked Auntie to approach me for her.\I don't know the details.\However, judging from her expression\it seems to be a serious matter. response:	I won't stay to chat.
context: Exactly.\Lady Cheng Yu always acts very cautiously.\If it weren't an important matter\she wouldn't have asked Auntie to approach me for her.\I don't know the details.\However, judging from her expression\it seems to be a serious matter.\I won't stay to chat. response:	I'm in a rush to head back for dinner with Riceball.
context: Lady Cheng Yu always acts very cautiously.\If it weren't an important matter\she wouldn't have asked Auntie to approach me for her.\I don't know the details.\However, judging from her expression\it seems to be a serious matter.\I won't stay to chat.\I'm in a rush to head back for dinner with Riceball. response:	If you're going to sneak into the Nine Heavens
context: If it weren't an important matter\she wouldn't have asked Auntie to approach me for her.\I don't know the details.\However, judging from her expression\it seems to be a serious matter.\I won't stay to chat.\I'm in a rush to head back for dinner with Riceball.\If you're going to sneak into the Nine Heavens response:	get Bai Zhen to help you.
context: she wouldn't have asked Auntie to approach me for her.\I don't know the details.\However, judging from her expression\it seems to be a serious matter.\I won't stay to chat.\I'm in a rush to head back for dinner with Riceball.\If you're going to sneak into the Nine Heavens\get Bai Zhen to help you. response:	Feng Jiu sees Auntie off.
context: I don't know the details.\However, judging from her expression\it seems to be a serious matter.\I won't stay to chat.\I'm in a rush to head back for dinner with Riceball.\If you're going to sneak into the Nine Heavens\get Bai Zhen to help you.\Feng Jiu sees Auntie off. response:	You've been smiling all day.
context: However, judging from her expression\it seems to be a serious matter.\I won't stay to chat.\I'm in a rush to head back for dinner with Riceball.\If you're going to sneak into the Nine Heavens\get Bai Zhen to help you.\Feng Jiu sees Auntie off.\You've been smiling all day. response:	Is there some joyous occasion?
context: it seems to be a serious matter.\I won't stay to chat.\I'm in a rush to head back for dinner with Riceball.\If you're going to sneak into the Nine Heavens\get Bai Zhen to help you.\Feng Jiu sees Auntie off.\You've been smiling all day.\Is there some joyous occasion? response:	Exactly.
context: I won't stay to chat.\I'm in a rush to head back for dinner with Riceball.\If you're going to sneak into the Nine Heavens\get Bai Zhen to help you.\Feng Jiu sees Auntie off.\You've been smiling all day.\Is there some joyous occasion?\Exactly. response:	There are actually two joyous occasions.
context: I'm in a rush to head back for dinner with Riceball.\If you're going to sneak into the Nine Heavens\get Bai Zhen to help you.\Feng Jiu sees Auntie off.\You've been smiling all day.\Is there some joyous occasion?\Exactly.\There are actually two joyous occasions. response:	First, our little Feng Jiu is going to become the Queen of Qing Qiu.
context: If you're going to sneak into the Nine Heavens\get Bai Zhen to help you.\Feng Jiu sees Auntie off.\You've been smiling all day.\Is there some joyous occasion?\Exactly.\There are actually two joyous occasions.\First, our little Feng Jiu is going to become the Queen of Qing Qiu. response:	Isn't Qian Qian the Queen of Qing Qiu?
context: get Bai Zhen to help you.\Feng Jiu sees Auntie off.\You've been smiling all day.\Is there some joyous occasion?\Exactly.\There are actually two joyous occasions.\First, our little Feng Jiu is going to become the Queen of Qing Qiu.\Isn't Qian Qian the Queen of Qing Qiu? response:	That's the second joyous occasion.
context: Feng Jiu sees Auntie off.\You've been smiling all day.\Is there some joyous occasion?\Exactly.\There are actually two joyous occasions.\First, our little Feng Jiu is going to become the Queen of Qing Qiu.\Isn't Qian Qian the Queen of Qing Qiu?\That's the second joyous occasion. response:	My Fifth Sister is getting married.
context: You've been smiling all day.\Is there some joyous occasion?\Exactly.\There are actually two joyous occasions.\First, our little Feng Jiu is going to become the Queen of Qing Qiu.\Isn't Qian Qian the Queen of Qing Qiu?\That's the second joyous occasion.\My Fifth Sister is getting married. response:	She's really fallen in love this time.
context: Is there some joyous occasion?\Exactly.\There are actually two joyous occasions.\First, our little Feng Jiu is going to become the Queen of Qing Qiu.\Isn't Qian Qian the Queen of Qing Qiu?\That's the second joyous occasion.\My Fifth Sister is getting married.\She's really fallen in love this time. response:	She even approached Bai Yi to have him bring it up to our parents.
context: Exactly.\There are actually two joyous occasions.\First, our little Feng Jiu is going to become the Queen of Qing Qiu.\Isn't Qian Qian the Queen of Qing Qiu?\That's the second joyous occasion.\My Fifth Sister is getting married.\She's really fallen in love this time.\She even approached Bai Yi to have him bring it up to our parents. response:	She's also set a date.
context: There are actually two joyous occasions.\First, our little Feng Jiu is going to become the Queen of Qing Qiu.\Isn't Qian Qian the Queen of Qing Qiu?\That's the second joyous occasion.\My Fifth Sister is getting married.\She's really fallen in love this time.\She even approached Bai Yi to have him bring it up to our parents.\She's also set a date. response:	It's the second day of September.
context: First, our little Feng Jiu is going to become the Queen of Qing Qiu.\Isn't Qian Qian the Queen of Qing Qiu?\That's the second joyous occasion.\My Fifth Sister is getting married.\She's really fallen in love this time.\She even approached Bai Yi to have him bring it up to our parents.\She's also set a date.\It's the second day of September. response:	Mo Yuan...
context: Isn't Qian Qian the Queen of Qing Qiu?\That's the second joyous occasion.\My Fifth Sister is getting married.\She's really fallen in love this time.\She even approached Bai Yi to have him bring it up to our parents.\She's also set a date.\It's the second day of September.\Mo Yuan... response:	Aren't you going to say anything?
context: That's the second joyous occasion.\My Fifth Sister is getting married.\She's really fallen in love this time.\She even approached Bai Yi to have him bring it up to our parents.\She's also set a date.\It's the second day of September.\Mo Yuan...\Aren't you going to say anything? response:	You're not surprised?
