context: This baby came very strangely. response:	In just a few days, it's ready for birth.
context: No, it's not just Seventeenth.\I can't find Master's corpse either.\What?\- Qian Qian! - Qian Qian!\Qian Qian!\- Qian Qian! - Qian Qian!\Silly girl! She was seriously injured from the war.\How could she treat her life so carelessly like this? response:	What do we do? What do we do?
context: I can't find Master's corpse either.\What?\- Qian Qian! - Qian Qian!\Qian Qian!\- Qian Qian! - Qian Qian!\Silly girl! She was seriously injured from the war.\How could she treat her life so carelessly like this?\What do we do? What do we do? response:	She's about to stop breathing. Come up with something! What do we do?
context: What?\- Qian Qian! - Qian Qian!\Qian Qian!\- Qian Qian! - Qian Qian!\Silly girl! She was seriously injured from the war.\How could she treat her life so carelessly like this?\What do we do? What do we do?\She's about to stop breathing. Come up with something! What do we do? response:	Don't worry. We can save her. Don't worry.
context: - Qian Qian! - Qian Qian!\Qian Qian!\- Qian Qian! - Qian Qian!\Silly girl! She was seriously injured from the war.\How could she treat her life so carelessly like this?\What do we do? What do we do?\She's about to stop breathing. Come up with something! What do we do?\Don't worry. We can save her. Don't worry. response:	Qian Qian fed a lot of blood from her heart to Mo Yuan.
context: Qian Qian!\- Qian Qian! - Qian Qian!\Silly girl! She was seriously injured from the war.\How could she treat her life so carelessly like this?\What do we do? What do we do?\She's about to stop breathing. Come up with something! What do we do?\Don't worry. We can save her. Don't worry.\Qian Qian fed a lot of blood from her heart to Mo Yuan. response:	It's already very difficult for her to still be alive.
context: - Qian Qian! - Qian Qian!\Silly girl! She was seriously injured from the war.\How could she treat her life so carelessly like this?\What do we do? What do we do?\She's about to stop breathing. Come up with something! What do we do?\Don't worry. We can save her. Don't worry.\Qian Qian fed a lot of blood from her heart to Mo Yuan.\It's already very difficult for her to still be alive. response:	Now, only cross essence repair can save her.
context: Silly girl! She was seriously injured from the war.\How could she treat her life so carelessly like this?\What do we do? What do we do?\She's about to stop breathing. Come up with something! What do we do?\Don't worry. We can save her. Don't worry.\Qian Qian fed a lot of blood from her heart to Mo Yuan.\It's already very difficult for her to still be alive.\Now, only cross essence repair can save her. response:	I'll do it.
context: How could she treat her life so carelessly like this?\What do we do? What do we do?\She's about to stop breathing. Come up with something! What do we do?\Don't worry. We can save her. Don't worry.\Qian Qian fed a lot of blood from her heart to Mo Yuan.\It's already very difficult for her to still be alive.\Now, only cross essence repair can save her.\I'll do it. response:	It will take more than half of your essence.
context: What do we do? What do we do?\She's about to stop breathing. Come up with something! What do we do?\Don't worry. We can save her. Don't worry.\Qian Qian fed a lot of blood from her heart to Mo Yuan.\It's already very difficult for her to still be alive.\Now, only cross essence repair can save her.\I'll do it.\It will take more than half of your essence. response:	If I can save Qian Qian, so what if I use half my essence?
context: She's about to stop breathing. Come up with something! What do we do?\Don't worry. We can save her. Don't worry.\Qian Qian fed a lot of blood from her heart to Mo Yuan.\It's already very difficult for her to still be alive.\Now, only cross essence repair can save her.\I'll do it.\It will take more than half of your essence.\If I can save Qian Qian, so what if I use half my essence? response:	No! You're the Fox King of Qing Qiu.
context: Don't worry. We can save her. Don't worry.\Qian Qian fed a lot of blood from her heart to Mo Yuan.\It's already very difficult for her to still be alive.\Now, only cross essence repair can save her.\I'll do it.\It will take more than half of your essence.\If I can save Qian Qian, so what if I use half my essence?\No! You're the Fox King of Qing Qiu. response:	You have to rule over the five lands.
context: Qian Qian fed a lot of blood from her heart to Mo Yuan.\It's already very difficult for her to still be alive.\Now, only cross essence repair can save her.\I'll do it.\It will take more than half of your essence.\If I can save Qian Qian, so what if I use half my essence?\No! You're the Fox King of Qing Qiu.\You have to rule over the five lands. response:	How can you just lose half of your essence like that?
context: It's already very difficult for her to still be alive.\Now, only cross essence repair can save her.\I'll do it.\It will take more than half of your essence.\If I can save Qian Qian, so what if I use half my essence?\No! You're the Fox King of Qing Qiu.\You have to rule over the five lands.\How can you just lose half of your essence like that? response:	I'll do it.
context: Now, only cross essence repair can save her.\I'll do it.\It will take more than half of your essence.\If I can save Qian Qian, so what if I use half my essence?\No! You're the Fox King of Qing Qiu.\You have to rule over the five lands.\How can you just lose half of your essence like that?\I'll do it. response:	Hold on.
context: I'll do it.\It will take more than half of your essence.\If I can save Qian Qian, so what if I use half my essence?\No! You're the Fox King of Qing Qiu.\You have to rule over the five lands.\How can you just lose half of your essence like that?\I'll do it.\Hold on. response:	Let me finish.
context: It will take more than half of your essence.\If I can save Qian Qian, so what if I use half my essence?\No! You're the Fox King of Qing Qiu.\You have to rule over the five lands.\How can you just lose half of your essence like that?\I'll do it.\Hold on.\Let me finish. response:	Each immortal has a different breath.
context: If I can save Qian Qian, so what if I use half my essence?\No! You're the Fox King of Qing Qiu.\You have to rule over the five lands.\How can you just lose half of your essence like that?\I'll do it.\Hold on.\Let me finish.\Each immortal has a different breath. response:	If we use too much essence in a cross repair
context: No! You're the Fox King of Qing Qiu.\You have to rule over the five lands.\How can you just lose half of your essence like that?\I'll do it.\Hold on.\Let me finish.\Each immortal has a different breath.\If we use too much essence in a cross repair response:	it could affect our magic breath.
context: You have to rule over the five lands.\How can you just lose half of your essence like that?\I'll do it.\Hold on.\Let me finish.\Each immortal has a different breath.\If we use too much essence in a cross repair\it could affect our magic breath. response:	In that case, you and Qian Qian could both fall into the demon path.
context: How can you just lose half of your essence like that?\I'll do it.\Hold on.\Let me finish.\Each immortal has a different breath.\If we use too much essence in a cross repair\it could affect our magic breath.\In that case, you and Qian Qian could both fall into the demon path. response:	Then you wouldn't be able to save Fifth Sister
context: I'll do it.\Hold on.\Let me finish.\Each immortal has a different breath.\If we use too much essence in a cross repair\it could affect our magic breath.\In that case, you and Qian Qian could both fall into the demon path.\Then you wouldn't be able to save Fifth Sister response:	and would cause yourself harm.
context: Hold on.\Let me finish.\Each immortal has a different breath.\If we use too much essence in a cross repair\it could affect our magic breath.\In that case, you and Qian Qian could both fall into the demon path.\Then you wouldn't be able to save Fifth Sister\and would cause yourself harm. response:	I can't worry about that now.
context: Let me finish.\Each immortal has a different breath.\If we use too much essence in a cross repair\it could affect our magic breath.\In that case, you and Qian Qian could both fall into the demon path.\Then you wouldn't be able to save Fifth Sister\and would cause yourself harm.\I can't worry about that now. response:	Zhen Zhen, please have Zhe Yan leave.
context: Each immortal has a different breath.\If we use too much essence in a cross repair\it could affect our magic breath.\In that case, you and Qian Qian could both fall into the demon path.\Then you wouldn't be able to save Fifth Sister\and would cause yourself harm.\I can't worry about that now.\Zhen Zhen, please have Zhe Yan leave. response:	- Mother! - Hurry!
context: If we use too much essence in a cross repair\it could affect our magic breath.\In that case, you and Qian Qian could both fall into the demon path.\Then you wouldn't be able to save Fifth Sister\and would cause yourself harm.\I can't worry about that now.\Zhen Zhen, please have Zhe Yan leave.\- Mother! - Hurry! response:	Why are you always like this? Always so anxious.
context: it could affect our magic breath.\In that case, you and Qian Qian could both fall into the demon path.\Then you wouldn't be able to save Fifth Sister\and would cause yourself harm.\I can't worry about that now.\Zhen Zhen, please have Zhe Yan leave.\- Mother! - Hurry!\Why are you always like this? Always so anxious. response:	Let me finish.
