context: - You may be dismissed. - Yes. response:	Fourth Brother?
context: She brought peace to the realms once more.\Only a disciple of Kunlun Mountain could have done that.\Good! Well done!\Seventeenth, answer me.\Where is Master's body?\Do you know that the divine energy has soared in Kunlun Mountain?\It's a sign that Master will soon return.\There are signs in Kunlun Mountain already? response:	You already knew that Master is returning?
context: Only a disciple of Kunlun Mountain could have done that.\Good! Well done!\Seventeenth, answer me.\Where is Master's body?\Do you know that the divine energy has soared in Kunlun Mountain?\It's a sign that Master will soon return.\There are signs in Kunlun Mountain already?\You already knew that Master is returning? response:	I did.
context: Good! Well done!\Seventeenth, answer me.\Where is Master's body?\Do you know that the divine energy has soared in Kunlun Mountain?\It's a sign that Master will soon return.\There are signs in Kunlun Mountain already?\You already knew that Master is returning?\I did. response:	Ye Hua said that as long as I stay up
context: Seventeenth, answer me.\Where is Master's body?\Do you know that the divine energy has soared in Kunlun Mountain?\It's a sign that Master will soon return.\There are signs in Kunlun Mountain already?\You already knew that Master is returning?\I did.\Ye Hua said that as long as I stay up response:	to safeguard the Soul-gathering Lamp for three days
context: Where is Master's body?\Do you know that the divine energy has soared in Kunlun Mountain?\It's a sign that Master will soon return.\There are signs in Kunlun Mountain already?\You already knew that Master is returning?\I did.\Ye Hua said that as long as I stay up\to safeguard the Soul-gathering Lamp for three days response:	Master will be able to wake up.
context: Do you know that the divine energy has soared in Kunlun Mountain?\It's a sign that Master will soon return.\There are signs in Kunlun Mountain already?\You already knew that Master is returning?\I did.\Ye Hua said that as long as I stay up\to safeguard the Soul-gathering Lamp for three days\Master will be able to wake up. response:	Is Master's spirit really inside the body of my brother?
context: It's a sign that Master will soon return.\There are signs in Kunlun Mountain already?\You already knew that Master is returning?\I did.\Ye Hua said that as long as I stay up\to safeguard the Soul-gathering Lamp for three days\Master will be able to wake up.\Is Master's spirit really inside the body of my brother? response:	I've used spirit-tracking magic to verify it.
context: There are signs in Kunlun Mountain already?\You already knew that Master is returning?\I did.\Ye Hua said that as long as I stay up\to safeguard the Soul-gathering Lamp for three days\Master will be able to wake up.\Is Master's spirit really inside the body of my brother?\I've used spirit-tracking magic to verify it. response:	It's absolutely true.
context: You already knew that Master is returning?\I did.\Ye Hua said that as long as I stay up\to safeguard the Soul-gathering Lamp for three days\Master will be able to wake up.\Is Master's spirit really inside the body of my brother?\I've used spirit-tracking magic to verify it.\It's absolutely true. response:	It's no wonder that my brother has been ill for 600 years without a reason.
context: I did.\Ye Hua said that as long as I stay up\to safeguard the Soul-gathering Lamp for three days\Master will be able to wake up.\Is Master's spirit really inside the body of my brother?\I've used spirit-tracking magic to verify it.\It's absolutely true.\It's no wonder that my brother has been ill for 600 years without a reason. response:	He's actually been hosting Master's spirit.
context: Ye Hua said that as long as I stay up\to safeguard the Soul-gathering Lamp for three days\Master will be able to wake up.\Is Master's spirit really inside the body of my brother?\I've used spirit-tracking magic to verify it.\It's absolutely true.\It's no wonder that my brother has been ill for 600 years without a reason.\He's actually been hosting Master's spirit. response:	What happens after Master's spirit fragments are all gathered?
context: to safeguard the Soul-gathering Lamp for three days\Master will be able to wake up.\Is Master's spirit really inside the body of my brother?\I've used spirit-tracking magic to verify it.\It's absolutely true.\It's no wonder that my brother has been ill for 600 years without a reason.\He's actually been hosting Master's spirit.\What happens after Master's spirit fragments are all gathered? response:	Zhe Yan said that he knows what to do next.
context: Master will be able to wake up.\Is Master's spirit really inside the body of my brother?\I've used spirit-tracking magic to verify it.\It's absolutely true.\It's no wonder that my brother has been ill for 600 years without a reason.\He's actually been hosting Master's spirit.\What happens after Master's spirit fragments are all gathered?\Zhe Yan said that he knows what to do next. response:	Auntie, I've borrowed their kitchen to make you a few dishes.
context: Is Master's spirit really inside the body of my brother?\I've used spirit-tracking magic to verify it.\It's absolutely true.\It's no wonder that my brother has been ill for 600 years without a reason.\He's actually been hosting Master's spirit.\What happens after Master's spirit fragments are all gathered?\Zhe Yan said that he knows what to do next.\Auntie, I've borrowed their kitchen to make you a few dishes. response:	Come and try them now.
context: I've used spirit-tracking magic to verify it.\It's absolutely true.\It's no wonder that my brother has been ill for 600 years without a reason.\He's actually been hosting Master's spirit.\What happens after Master's spirit fragments are all gathered?\Zhe Yan said that he knows what to do next.\Auntie, I've borrowed their kitchen to make you a few dishes.\Come and try them now. response:	Our Xiao Jiu is the best, especially her culinary skills.
context: It's absolutely true.\It's no wonder that my brother has been ill for 600 years without a reason.\He's actually been hosting Master's spirit.\What happens after Master's spirit fragments are all gathered?\Zhe Yan said that he knows what to do next.\Auntie, I've borrowed their kitchen to make you a few dishes.\Come and try them now.\Our Xiao Jiu is the best, especially her culinary skills. response:	That month when you were away, I missed you terribly.
context: It's no wonder that my brother has been ill for 600 years without a reason.\He's actually been hosting Master's spirit.\What happens after Master's spirit fragments are all gathered?\Zhe Yan said that he knows what to do next.\Auntie, I've borrowed their kitchen to make you a few dishes.\Come and try them now.\Our Xiao Jiu is the best, especially her culinary skills.\That month when you were away, I missed you terribly. response:	My parents always said that leaving me behind in Qing Qiu
context: He's actually been hosting Master's spirit.\What happens after Master's spirit fragments are all gathered?\Zhe Yan said that he knows what to do next.\Auntie, I've borrowed their kitchen to make you a few dishes.\Come and try them now.\Our Xiao Jiu is the best, especially her culinary skills.\That month when you were away, I missed you terribly.\My parents always said that leaving me behind in Qing Qiu response:	caused Auntie great trouble.
context: What happens after Master's spirit fragments are all gathered?\Zhe Yan said that he knows what to do next.\Auntie, I've borrowed their kitchen to make you a few dishes.\Come and try them now.\Our Xiao Jiu is the best, especially her culinary skills.\That month when you were away, I missed you terribly.\My parents always said that leaving me behind in Qing Qiu\caused Auntie great trouble. response:	It seems that I'm the one who is having a hard time looking after my aunt.
context: Zhe Yan said that he knows what to do next.\Auntie, I've borrowed their kitchen to make you a few dishes.\Come and try them now.\Our Xiao Jiu is the best, especially her culinary skills.\That month when you were away, I missed you terribly.\My parents always said that leaving me behind in Qing Qiu\caused Auntie great trouble.\It seems that I'm the one who is having a hard time looking after my aunt. response:	Yes, this is the right flavor.
context: Auntie, I've borrowed their kitchen to make you a few dishes.\Come and try them now.\Our Xiao Jiu is the best, especially her culinary skills.\That month when you were away, I missed you terribly.\My parents always said that leaving me behind in Qing Qiu\caused Auntie great trouble.\It seems that I'm the one who is having a hard time looking after my aunt.\Yes, this is the right flavor. response:	I heard from Mi Gu that while I was away
context: Come and try them now.\Our Xiao Jiu is the best, especially her culinary skills.\That month when you were away, I missed you terribly.\My parents always said that leaving me behind in Qing Qiu\caused Auntie great trouble.\It seems that I'm the one who is having a hard time looking after my aunt.\Yes, this is the right flavor.\I heard from Mi Gu that while I was away response:	it was the Crown Prince who cooked for you?
context: Our Xiao Jiu is the best, especially her culinary skills.\That month when you were away, I missed you terribly.\My parents always said that leaving me behind in Qing Qiu\caused Auntie great trouble.\It seems that I'm the one who is having a hard time looking after my aunt.\Yes, this is the right flavor.\I heard from Mi Gu that while I was away\it was the Crown Prince who cooked for you? response:	Yes, he's had a hard time.
context: That month when you were away, I missed you terribly.\My parents always said that leaving me behind in Qing Qiu\caused Auntie great trouble.\It seems that I'm the one who is having a hard time looking after my aunt.\Yes, this is the right flavor.\I heard from Mi Gu that while I was away\it was the Crown Prince who cooked for you?\Yes, he's had a hard time. response:	Auntie, are you blushing?
context: My parents always said that leaving me behind in Qing Qiu\caused Auntie great trouble.\It seems that I'm the one who is having a hard time looking after my aunt.\Yes, this is the right flavor.\I heard from Mi Gu that while I was away\it was the Crown Prince who cooked for you?\Yes, he's had a hard time.\Auntie, are you blushing? response:	How rude!
context: caused Auntie great trouble.\It seems that I'm the one who is having a hard time looking after my aunt.\Yes, this is the right flavor.\I heard from Mi Gu that while I was away\it was the Crown Prince who cooked for you?\Yes, he's had a hard time.\Auntie, are you blushing?\How rude! response:	Are you teasing me?
context: It seems that I'm the one who is having a hard time looking after my aunt.\Yes, this is the right flavor.\I heard from Mi Gu that while I was away\it was the Crown Prince who cooked for you?\Yes, he's had a hard time.\Auntie, are you blushing?\How rude!\Are you teasing me? response:	Auntie, you're in love.
context: Yes, this is the right flavor.\I heard from Mi Gu that while I was away\it was the Crown Prince who cooked for you?\Yes, he's had a hard time.\Auntie, are you blushing?\How rude!\Are you teasing me?\Auntie, you're in love. response:	Let me pour you some wine.
context: I heard from Mi Gu that while I was away\it was the Crown Prince who cooked for you?\Yes, he's had a hard time.\Auntie, are you blushing?\How rude!\Are you teasing me?\Auntie, you're in love.\Let me pour you some wine. response:	Congratulations to the iron tree that finally blossomed and found true love.
context: it was the Crown Prince who cooked for you?\Yes, he's had a hard time.\Auntie, are you blushing?\How rude!\Are you teasing me?\Auntie, you're in love.\Let me pour you some wine.\Congratulations to the iron tree that finally blossomed and found true love. response:	Her true love is actually her future husband.
context: Yes, he's had a hard time.\Auntie, are you blushing?\How rude!\Are you teasing me?\Auntie, you're in love.\Let me pour you some wine.\Congratulations to the iron tree that finally blossomed and found true love.\Her true love is actually her future husband. response:	How perfect.
context: Auntie, are you blushing?\How rude!\Are you teasing me?\Auntie, you're in love.\Let me pour you some wine.\Congratulations to the iron tree that finally blossomed and found true love.\Her true love is actually her future husband.\How perfect. response:	Thank you for the well wishes but I can't have the wine.
context: How rude!\Are you teasing me?\Auntie, you're in love.\Let me pour you some wine.\Congratulations to the iron tree that finally blossomed and found true love.\Her true love is actually her future husband.\How perfect.\Thank you for the well wishes but I can't have the wine. response:	Why not?
context: Are you teasing me?\Auntie, you're in love.\Let me pour you some wine.\Congratulations to the iron tree that finally blossomed and found true love.\Her true love is actually her future husband.\How perfect.\Thank you for the well wishes but I can't have the wine.\Why not? response:	Don't you always drink whether you're happy or not?
context: Auntie, you're in love.\Let me pour you some wine.\Congratulations to the iron tree that finally blossomed and found true love.\Her true love is actually her future husband.\How perfect.\Thank you for the well wishes but I can't have the wine.\Why not?\Don't you always drink whether you're happy or not? response:	Moreover, haven't you already located High God Mo Yuan's spirit?
context: Let me pour you some wine.\Congratulations to the iron tree that finally blossomed and found true love.\Her true love is actually her future husband.\How perfect.\Thank you for the well wishes but I can't have the wine.\Why not?\Don't you always drink whether you're happy or not?\Moreover, haven't you already located High God Mo Yuan's spirit? response:	You should have the wine.
context: Congratulations to the iron tree that finally blossomed and found true love.\Her true love is actually her future husband.\How perfect.\Thank you for the well wishes but I can't have the wine.\Why not?\Don't you always drink whether you're happy or not?\Moreover, haven't you already located High God Mo Yuan's spirit?\You should have the wine. response:	I have to stay awake for three days to keep an eye on this Soul-gathering Lamp
context: Her true love is actually her future husband.\How perfect.\Thank you for the well wishes but I can't have the wine.\Why not?\Don't you always drink whether you're happy or not?\Moreover, haven't you already located High God Mo Yuan's spirit?\You should have the wine.\I have to stay awake for three days to keep an eye on this Soul-gathering Lamp response:	so I can't drink any wine.
context: How perfect.\Thank you for the well wishes but I can't have the wine.\Why not?\Don't you always drink whether you're happy or not?\Moreover, haven't you already located High God Mo Yuan's spirit?\You should have the wine.\I have to stay awake for three days to keep an eye on this Soul-gathering Lamp\so I can't drink any wine. response:	I brought this Soul-gathering Lamp for High God Mo Yuan in the first place.
context: Thank you for the well wishes but I can't have the wine.\Why not?\Don't you always drink whether you're happy or not?\Moreover, haven't you already located High God Mo Yuan's spirit?\You should have the wine.\I have to stay awake for three days to keep an eye on this Soul-gathering Lamp\so I can't drink any wine.\I brought this Soul-gathering Lamp for High God Mo Yuan in the first place. response:	Who knew that after all this time it would still came in handy?
context: Why not?\Don't you always drink whether you're happy or not?\Moreover, haven't you already located High God Mo Yuan's spirit?\You should have the wine.\I have to stay awake for three days to keep an eye on this Soul-gathering Lamp\so I can't drink any wine.\I brought this Soul-gathering Lamp for High God Mo Yuan in the first place.\Who knew that after all this time it would still came in handy? response:	How did you get it?
context: Don't you always drink whether you're happy or not?\Moreover, haven't you already located High God Mo Yuan's spirit?\You should have the wine.\I have to stay awake for three days to keep an eye on this Soul-gathering Lamp\so I can't drink any wine.\I brought this Soul-gathering Lamp for High God Mo Yuan in the first place.\Who knew that after all this time it would still came in handy?\How did you get it? response:	Ye Hua brought it here to me.
context: Moreover, haven't you already located High God Mo Yuan's spirit?\You should have the wine.\I have to stay awake for three days to keep an eye on this Soul-gathering Lamp\so I can't drink any wine.\I brought this Soul-gathering Lamp for High God Mo Yuan in the first place.\Who knew that after all this time it would still came in handy?\How did you get it?\Ye Hua brought it here to me. response:	The Crown Prince gave it to you?
context: You should have the wine.\I have to stay awake for three days to keep an eye on this Soul-gathering Lamp\so I can't drink any wine.\I brought this Soul-gathering Lamp for High God Mo Yuan in the first place.\Who knew that after all this time it would still came in handy?\How did you get it?\Ye Hua brought it here to me.\The Crown Prince gave it to you? response:	Exactly.
context: I have to stay awake for three days to keep an eye on this Soul-gathering Lamp\so I can't drink any wine.\I brought this Soul-gathering Lamp for High God Mo Yuan in the first place.\Who knew that after all this time it would still came in handy?\How did you get it?\Ye Hua brought it here to me.\The Crown Prince gave it to you?\Exactly. response:	Since the Crown Prince is willing to give this lamp away
context: so I can't drink any wine.\I brought this Soul-gathering Lamp for High God Mo Yuan in the first place.\Who knew that after all this time it would still came in handy?\How did you get it?\Ye Hua brought it here to me.\The Crown Prince gave it to you?\Exactly.\Since the Crown Prince is willing to give this lamp away response:	he must have moved on from Su Su.
context: I brought this Soul-gathering Lamp for High God Mo Yuan in the first place.\Who knew that after all this time it would still came in handy?\How did you get it?\Ye Hua brought it here to me.\The Crown Prince gave it to you?\Exactly.\Since the Crown Prince is willing to give this lamp away\he must have moved on from Su Su. response:	He should... treat my aunt well.
context: Who knew that after all this time it would still came in handy?\How did you get it?\Ye Hua brought it here to me.\The Crown Prince gave it to you?\Exactly.\Since the Crown Prince is willing to give this lamp away\he must have moved on from Su Su.\He should... treat my aunt well. response:	What is it, Xiao Jiu?
context: How did you get it?\Ye Hua brought it here to me.\The Crown Prince gave it to you?\Exactly.\Since the Crown Prince is willing to give this lamp away\he must have moved on from Su Su.\He should... treat my aunt well.\What is it, Xiao Jiu? response:	I'm just wondering if this Soul-gathering Lamp is that powerful.
context: Ye Hua brought it here to me.\The Crown Prince gave it to you?\Exactly.\Since the Crown Prince is willing to give this lamp away\he must have moved on from Su Su.\He should... treat my aunt well.\What is it, Xiao Jiu?\I'm just wondering if this Soul-gathering Lamp is that powerful. response:	Don't underestimate this lamp.
context: The Crown Prince gave it to you?\Exactly.\Since the Crown Prince is willing to give this lamp away\he must have moved on from Su Su.\He should... treat my aunt well.\What is it, Xiao Jiu?\I'm just wondering if this Soul-gathering Lamp is that powerful.\Don't underestimate this lamp. response:	Look. Am I not using it to repair my mentor's spirit now?
context: Exactly.\Since the Crown Prince is willing to give this lamp away\he must have moved on from Su Su.\He should... treat my aunt well.\What is it, Xiao Jiu?\I'm just wondering if this Soul-gathering Lamp is that powerful.\Don't underestimate this lamp.\Look. Am I not using it to repair my mentor's spirit now? response:	You're right.
context: Since the Crown Prince is willing to give this lamp away\he must have moved on from Su Su.\He should... treat my aunt well.\What is it, Xiao Jiu?\I'm just wondering if this Soul-gathering Lamp is that powerful.\Don't underestimate this lamp.\Look. Am I not using it to repair my mentor's spirit now?\You're right. response:	At this time of the year osmanthus blooms in the palace.
context: he must have moved on from Su Su.\He should... treat my aunt well.\What is it, Xiao Jiu?\I'm just wondering if this Soul-gathering Lamp is that powerful.\Don't underestimate this lamp.\Look. Am I not using it to repair my mentor's spirit now?\You're right.\At this time of the year osmanthus blooms in the palace. response:	A-Li always gets a rash from the pollen.
context: He should... treat my aunt well.\What is it, Xiao Jiu?\I'm just wondering if this Soul-gathering Lamp is that powerful.\Don't underestimate this lamp.\Look. Am I not using it to repair my mentor's spirit now?\You're right.\At this time of the year osmanthus blooms in the palace.\A-Li always gets a rash from the pollen. response:	Be sure to boil water with okra and use that water to wipe his body.
context: What is it, Xiao Jiu?\I'm just wondering if this Soul-gathering Lamp is that powerful.\Don't underestimate this lamp.\Look. Am I not using it to repair my mentor's spirit now?\You're right.\At this time of the year osmanthus blooms in the palace.\A-Li always gets a rash from the pollen.\Be sure to boil water with okra and use that water to wipe his body. response:	That will relieve the symptoms.
context: I'm just wondering if this Soul-gathering Lamp is that powerful.\Don't underestimate this lamp.\Look. Am I not using it to repair my mentor's spirit now?\You're right.\At this time of the year osmanthus blooms in the palace.\A-Li always gets a rash from the pollen.\Be sure to boil water with okra and use that water to wipe his body.\That will relieve the symptoms. response:	The Crown Prince reminds me to do that every year.
context: Don't underestimate this lamp.\Look. Am I not using it to repair my mentor's spirit now?\You're right.\At this time of the year osmanthus blooms in the palace.\A-Li always gets a rash from the pollen.\Be sure to boil water with okra and use that water to wipe his body.\That will relieve the symptoms.\The Crown Prince reminds me to do that every year. response:	Nai Nai won't forget it.
context: Look. Am I not using it to repair my mentor's spirit now?\You're right.\At this time of the year osmanthus blooms in the palace.\A-Li always gets a rash from the pollen.\Be sure to boil water with okra and use that water to wipe his body.\That will relieve the symptoms.\The Crown Prince reminds me to do that every year.\Nai Nai won't forget it. response:	You may be dismissed.
context: You're right.\At this time of the year osmanthus blooms in the palace.\A-Li always gets a rash from the pollen.\Be sure to boil water with okra and use that water to wipe his body.\That will relieve the symptoms.\The Crown Prince reminds me to do that every year.\Nai Nai won't forget it.\You may be dismissed. response:	Your Highness, the four mystical beasts are quite spiritually trained.
context: At this time of the year osmanthus blooms in the palace.\A-Li always gets a rash from the pollen.\Be sure to boil water with okra and use that water to wipe his body.\That will relieve the symptoms.\The Crown Prince reminds me to do that every year.\Nai Nai won't forget it.\You may be dismissed.\Your Highness, the four mystical beasts are quite spiritually trained. response:	Why don't you ask the Heavenly Lord to deploy the celestial guards?
context: A-Li always gets a rash from the pollen.\Be sure to boil water with okra and use that water to wipe his body.\That will relieve the symptoms.\The Crown Prince reminds me to do that every year.\Nai Nai won't forget it.\You may be dismissed.\Your Highness, the four mystical beasts are quite spiritually trained.\Why don't you ask the Heavenly Lord to deploy the celestial guards? response:	I don't wish to alert too many people.
context: Be sure to boil water with okra and use that water to wipe his body.\That will relieve the symptoms.\The Crown Prince reminds me to do that every year.\Nai Nai won't forget it.\You may be dismissed.\Your Highness, the four mystical beasts are quite spiritually trained.\Why don't you ask the Heavenly Lord to deploy the celestial guards?\I don't wish to alert too many people. response:	My Lord, please allow me to go to Yingzhou of the Eastern Sea with you.
context: That will relieve the symptoms.\The Crown Prince reminds me to do that every year.\Nai Nai won't forget it.\You may be dismissed.\Your Highness, the four mystical beasts are quite spiritually trained.\Why don't you ask the Heavenly Lord to deploy the celestial guards?\I don't wish to alert too many people.\My Lord, please allow me to go to Yingzhou of the Eastern Sea with you. response:	Although I'm not as powerful
context: The Crown Prince reminds me to do that every year.\Nai Nai won't forget it.\You may be dismissed.\Your Highness, the four mystical beasts are quite spiritually trained.\Why don't you ask the Heavenly Lord to deploy the celestial guards?\I don't wish to alert too many people.\My Lord, please allow me to go to Yingzhou of the Eastern Sea with you.\Although I'm not as powerful response:	I can still hold the beasts off in an emergency.
context: Nai Nai won't forget it.\You may be dismissed.\Your Highness, the four mystical beasts are quite spiritually trained.\Why don't you ask the Heavenly Lord to deploy the celestial guards?\I don't wish to alert too many people.\My Lord, please allow me to go to Yingzhou of the Eastern Sea with you.\Although I'm not as powerful\I can still hold the beasts off in an emergency. response:	With your level of cultivation, you wouldn't be much help to me.
context: You may be dismissed.\Your Highness, the four mystical beasts are quite spiritually trained.\Why don't you ask the Heavenly Lord to deploy the celestial guards?\I don't wish to alert too many people.\My Lord, please allow me to go to Yingzhou of the Eastern Sea with you.\Although I'm not as powerful\I can still hold the beasts off in an emergency.\With your level of cultivation, you wouldn't be much help to me. response:	I must get the divine fungal grass.
context: Your Highness, the four mystical beasts are quite spiritually trained.\Why don't you ask the Heavenly Lord to deploy the celestial guards?\I don't wish to alert too many people.\My Lord, please allow me to go to Yingzhou of the Eastern Sea with you.\Although I'm not as powerful\I can still hold the beasts off in an emergency.\With your level of cultivation, you wouldn't be much help to me.\I must get the divine fungal grass. response:	Should I fail to return in three days
context: Why don't you ask the Heavenly Lord to deploy the celestial guards?\I don't wish to alert too many people.\My Lord, please allow me to go to Yingzhou of the Eastern Sea with you.\Although I'm not as powerful\I can still hold the beasts off in an emergency.\With your level of cultivation, you wouldn't be much help to me.\I must get the divine fungal grass.\Should I fail to return in three days response:	you must not allow anyone near Yingzhou again.
context: I don't wish to alert too many people.\My Lord, please allow me to go to Yingzhou of the Eastern Sea with you.\Although I'm not as powerful\I can still hold the beasts off in an emergency.\With your level of cultivation, you wouldn't be much help to me.\I must get the divine fungal grass.\Should I fail to return in three days\you must not allow anyone near Yingzhou again. response:	Especially Qing Qiu's High God Bai Qian.
context: My Lord, please allow me to go to Yingzhou of the Eastern Sea with you.\Although I'm not as powerful\I can still hold the beasts off in an emergency.\With your level of cultivation, you wouldn't be much help to me.\I must get the divine fungal grass.\Should I fail to return in three days\you must not allow anyone near Yingzhou again.\Especially Qing Qiu's High God Bai Qian. response:	Do you understand?
context: Although I'm not as powerful\I can still hold the beasts off in an emergency.\With your level of cultivation, you wouldn't be much help to me.\I must get the divine fungal grass.\Should I fail to return in three days\you must not allow anyone near Yingzhou again.\Especially Qing Qiu's High God Bai Qian.\Do you understand? response:	- Yes. - Yes.
