context: I like your eyes the most. response:	Your Majesty, don't make fun of me.
context: It's fine.\It's just bowing to heaven and earth.\All right, let's do it.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity. response:	I, Su Su, ask all the gods of the world to bear witness
context: It's just bowing to heaven and earth.\All right, let's do it.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness response:	in front of the Lakes of the Far East.
context: All right, let's do it.\I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East. response:	From this day forth, I will be married to Ye Hua.
context: I, Ye Hua, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua. response:	I will love him with all my heart for all eternity
context: in front of the Lakes of the Far East.\From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity response:	and never part from him regardless of fortune or calamity.
context: From this day forth, I will be married to Su Su.\I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity\and never part from him regardless of fortune or calamity. response:	Now that we are married there are some things I must say.
context: I will love her with all my heart for all eternity\and never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity\and never part from him regardless of fortune or calamity.\Now that we are married there are some things I must say. response:	Go ahead.
context: and never part from her regardless of fortune or calamity.\I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity\and never part from him regardless of fortune or calamity.\Now that we are married there are some things I must say.\Go ahead. response:	Since we have made an oath to the Lakes of the Far East
context: I, Su Su, ask all the gods of the world to bear witness\in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity\and never part from him regardless of fortune or calamity.\Now that we are married there are some things I must say.\Go ahead.\Since we have made an oath to the Lakes of the Far East response:	we are to be husband and wife for all eternity.
context: in front of the Lakes of the Far East.\From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity\and never part from him regardless of fortune or calamity.\Now that we are married there are some things I must say.\Go ahead.\Since we have made an oath to the Lakes of the Far East\we are to be husband and wife for all eternity. response:	You must not do me wrong for all eternity.
context: From this day forth, I will be married to Ye Hua.\I will love him with all my heart for all eternity\and never part from him regardless of fortune or calamity.\Now that we are married there are some things I must say.\Go ahead.\Since we have made an oath to the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity. response:	I have always held a clear distinction between love and hate.
context: I will love him with all my heart for all eternity\and never part from him regardless of fortune or calamity.\Now that we are married there are some things I must say.\Go ahead.\Since we have made an oath to the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate. response:	I can tolerate no wrong.
context: and never part from him regardless of fortune or calamity.\Now that we are married there are some things I must say.\Go ahead.\Since we have made an oath to the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong. response:	If you betray me...
context: Now that we are married there are some things I must say.\Go ahead.\Since we have made an oath to the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me... response:	What would you do?
context: Go ahead.\Since we have made an oath to the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me...\What would you do? response:	If you betray me, those oaths will become null and void.
context: Since we have made an oath to the Lakes of the Far East\we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me...\What would you do?\If you betray me, those oaths will become null and void. response:	I will leave you, never to see you again.
context: we are to be husband and wife for all eternity.\You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me...\What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again. response:	If I betray you, you will leave me.
context: You must not do me wrong for all eternity.\I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me...\What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\If I betray you, you will leave me. response:	Then wouldn't you be giving me exactly what I want?
context: I have always held a clear distinction between love and hate.\I can tolerate no wrong.\If you betray me...\What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\If I betray you, you will leave me.\Then wouldn't you be giving me exactly what I want? response:	I am not joking.
context: I can tolerate no wrong.\If you betray me...\What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\If I betray you, you will leave me.\Then wouldn't you be giving me exactly what I want?\I am not joking. response:	Su Su.
context: If you betray me...\What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\If I betray you, you will leave me.\Then wouldn't you be giving me exactly what I want?\I am not joking.\Su Su. response:	Close your eyes.
context: What would you do?\If you betray me, those oaths will become null and void.\I will leave you, never to see you again.\If I betray you, you will leave me.\Then wouldn't you be giving me exactly what I want?\I am not joking.\Su Su.\Close your eyes. response:	I will never betray you.
