context: And you... response:	When I felt the strongest for you, you knocked me down.
context: Now, there is a faint trace of divine energy\bubbling up from the base of the mountain.\There is surely some unusual activity happening here.\High God Zhe Yan.\You are...\Second Disciple of Kunlun Mountain.\I saw you before when Si Yin became a disciple.\That's correct. I had the fortune to see you then. response:	When I was feeding Master's cranes just now
context: bubbling up from the base of the mountain.\There is surely some unusual activity happening here.\High God Zhe Yan.\You are...\Second Disciple of Kunlun Mountain.\I saw you before when Si Yin became a disciple.\That's correct. I had the fortune to see you then.\When I was feeding Master's cranes just now response:	I heard them crying out simultaneously
context: There is surely some unusual activity happening here.\High God Zhe Yan.\You are...\Second Disciple of Kunlun Mountain.\I saw you before when Si Yin became a disciple.\That's correct. I had the fortune to see you then.\When I was feeding Master's cranes just now\I heard them crying out simultaneously response:	and knew an honored guest must have arrived.
context: High God Zhe Yan.\You are...\Second Disciple of Kunlun Mountain.\I saw you before when Si Yin became a disciple.\That's correct. I had the fortune to see you then.\When I was feeding Master's cranes just now\I heard them crying out simultaneously\and knew an honored guest must have arrived. response:	I did not expect it would be you.
context: You are...\Second Disciple of Kunlun Mountain.\I saw you before when Si Yin became a disciple.\That's correct. I had the fortune to see you then.\When I was feeding Master's cranes just now\I heard them crying out simultaneously\and knew an honored guest must have arrived.\I did not expect it would be you. response:	May I ask what you have come to Kunlun Mountain for
context: Second Disciple of Kunlun Mountain.\I saw you before when Si Yin became a disciple.\That's correct. I had the fortune to see you then.\When I was feeding Master's cranes just now\I heard them crying out simultaneously\and knew an honored guest must have arrived.\I did not expect it would be you.\May I ask what you have come to Kunlun Mountain for response:	and how I may help?
context: I saw you before when Si Yin became a disciple.\That's correct. I had the fortune to see you then.\When I was feeding Master's cranes just now\I heard them crying out simultaneously\and knew an honored guest must have arrived.\I did not expect it would be you.\May I ask what you have come to Kunlun Mountain for\and how I may help? response:	When the Heavenly Father passed away
context: That's correct. I had the fortune to see you then.\When I was feeding Master's cranes just now\I heard them crying out simultaneously\and knew an honored guest must have arrived.\I did not expect it would be you.\May I ask what you have come to Kunlun Mountain for\and how I may help?\When the Heavenly Father passed away response:	I had the artifact, Fuxi Zither, permanently sealed under Kunlun Mountain.
context: When I was feeding Master's cranes just now\I heard them crying out simultaneously\and knew an honored guest must have arrived.\I did not expect it would be you.\May I ask what you have come to Kunlun Mountain for\and how I may help?\When the Heavenly Father passed away\I had the artifact, Fuxi Zither, permanently sealed under Kunlun Mountain. response:	So many years have passed in the blink of an eye.
context: I heard them crying out simultaneously\and knew an honored guest must have arrived.\I did not expect it would be you.\May I ask what you have come to Kunlun Mountain for\and how I may help?\When the Heavenly Father passed away\I had the artifact, Fuxi Zither, permanently sealed under Kunlun Mountain.\So many years have passed in the blink of an eye. response:	I suddenly longed to see this companion of mine
context: and knew an honored guest must have arrived.\I did not expect it would be you.\May I ask what you have come to Kunlun Mountain for\and how I may help?\When the Heavenly Father passed away\I had the artifact, Fuxi Zither, permanently sealed under Kunlun Mountain.\So many years have passed in the blink of an eye.\I suddenly longed to see this companion of mine response:	so I came to take a look.
context: I did not expect it would be you.\May I ask what you have come to Kunlun Mountain for\and how I may help?\When the Heavenly Father passed away\I had the artifact, Fuxi Zither, permanently sealed under Kunlun Mountain.\So many years have passed in the blink of an eye.\I suddenly longed to see this companion of mine\so I came to take a look. response:	I once heard Master mention that magical artifact.
context: May I ask what you have come to Kunlun Mountain for\and how I may help?\When the Heavenly Father passed away\I had the artifact, Fuxi Zither, permanently sealed under Kunlun Mountain.\So many years have passed in the blink of an eye.\I suddenly longed to see this companion of mine\so I came to take a look.\I once heard Master mention that magical artifact. response:	High God, please go ahead.
context: and how I may help?\When the Heavenly Father passed away\I had the artifact, Fuxi Zither, permanently sealed under Kunlun Mountain.\So many years have passed in the blink of an eye.\I suddenly longed to see this companion of mine\so I came to take a look.\I once heard Master mention that magical artifact.\High God, please go ahead. response:	Are you now the only disciple left at Kunlun Mountain?
context: When the Heavenly Father passed away\I had the artifact, Fuxi Zither, permanently sealed under Kunlun Mountain.\So many years have passed in the blink of an eye.\I suddenly longed to see this companion of mine\so I came to take a look.\I once heard Master mention that magical artifact.\High God, please go ahead.\Are you now the only disciple left at Kunlun Mountain? response:	In the past 70,000 years
context: I had the artifact, Fuxi Zither, permanently sealed under Kunlun Mountain.\So many years have passed in the blink of an eye.\I suddenly longed to see this companion of mine\so I came to take a look.\I once heard Master mention that magical artifact.\High God, please go ahead.\Are you now the only disciple left at Kunlun Mountain?\In the past 70,000 years response:	those who had families, returned home to help out
context: So many years have passed in the blink of an eye.\I suddenly longed to see this companion of mine\so I came to take a look.\I once heard Master mention that magical artifact.\High God, please go ahead.\Are you now the only disciple left at Kunlun Mountain?\In the past 70,000 years\those who had families, returned home to help out response:	while those who didn't have families
context: I suddenly longed to see this companion of mine\so I came to take a look.\I once heard Master mention that magical artifact.\High God, please go ahead.\Are you now the only disciple left at Kunlun Mountain?\In the past 70,000 years\those who had families, returned home to help out\while those who didn't have families response:	continued searching for Seventeenth and Master.
context: so I came to take a look.\I once heard Master mention that magical artifact.\High God, please go ahead.\Are you now the only disciple left at Kunlun Mountain?\In the past 70,000 years\those who had families, returned home to help out\while those who didn't have families\continued searching for Seventeenth and Master. response:	Zi Lan returned recently and cleaned the place inside and outside.
context: I once heard Master mention that magical artifact.\High God, please go ahead.\Are you now the only disciple left at Kunlun Mountain?\In the past 70,000 years\those who had families, returned home to help out\while those who didn't have families\continued searching for Seventeenth and Master.\Zi Lan returned recently and cleaned the place inside and outside. response:	Ghost Lord came by unexpectedly and said he had seen Si Yin.
