context: Japonet, Japonet... Japonet's low prices are incredible! response:	Japonet T.V. shopping.
context: Is not bad, I can make it.\I'll win with Umaru's great luck!\D prize\Why did the D prize came out twice!? This price is useless!\UMR-san...\You are my friend, I'll make sure to break your bad luck!\E prize\It's beautiful! response:	All of them are the worst prize.
context: I'll win with Umaru's great luck!\D prize\Why did the D prize came out twice!? This price is useless!\UMR-san...\You are my friend, I'll make sure to break your bad luck!\E prize\It's beautiful!\All of them are the worst prize. response:	To lose even with both of us playing, I can't believe it.
context: D prize\Why did the D prize came out twice!? This price is useless!\UMR-san...\You are my friend, I'll make sure to break your bad luck!\E prize\It's beautiful!\All of them are the worst prize.\To lose even with both of us playing, I can't believe it. response:	Though, the dangerous thing about a lottery...
context: Why did the D prize came out twice!? This price is useless!\UMR-san...\You are my friend, I'll make sure to break your bad luck!\E prize\It's beautiful!\All of them are the worst prize.\To lose even with both of us playing, I can't believe it.\Though, the dangerous thing about a lottery... response:	Maybe next time I'll get it!
context: UMR-san...\You are my friend, I'll make sure to break your bad luck!\E prize\It's beautiful!\All of them are the worst prize.\To lose even with both of us playing, I can't believe it.\Though, the dangerous thing about a lottery...\Maybe next time I'll get it! response:	The believe of getting it next time, the lust of gambling.
context: You are my friend, I'll make sure to break your bad luck!\E prize\It's beautiful!\All of them are the worst prize.\To lose even with both of us playing, I can't believe it.\Though, the dangerous thing about a lottery...\Maybe next time I'll get it!\The believe of getting it next time, the lust of gambling. response:	You don't need this UMR-san?
context: E prize\It's beautiful!\All of them are the worst prize.\To lose even with both of us playing, I can't believe it.\Though, the dangerous thing about a lottery...\Maybe next time I'll get it!\The believe of getting it next time, the lust of gambling.\You don't need this UMR-san? response:	-Yeah, I'll give it to you.
context: It's beautiful!\All of them are the worst prize.\To lose even with both of us playing, I can't believe it.\Though, the dangerous thing about a lottery...\Maybe next time I'll get it!\The believe of getting it next time, the lust of gambling.\You don't need this UMR-san?\-Yeah, I'll give it to you. response:	-How nice!
context: All of them are the worst prize.\To lose even with both of us playing, I can't believe it.\Though, the dangerous thing about a lottery...\Maybe next time I'll get it!\The believe of getting it next time, the lust of gambling.\You don't need this UMR-san?\-Yeah, I'll give it to you.\-How nice! response:	If I run home and bring more money...
context: To lose even with both of us playing, I can't believe it.\Though, the dangerous thing about a lottery...\Maybe next time I'll get it!\The believe of getting it next time, the lust of gambling.\You don't need this UMR-san?\-Yeah, I'll give it to you.\-How nice!\If I run home and bring more money... response:	No, I can even ask for Onii-chan's card.
context: Though, the dangerous thing about a lottery...\Maybe next time I'll get it!\The believe of getting it next time, the lust of gambling.\You don't need this UMR-san?\-Yeah, I'll give it to you.\-How nice!\If I run home and bring more money...\No, I can even ask for Onii-chan's card. response:	Here!, with this we can set a date for the next time we meet!
context: Maybe next time I'll get it!\The believe of getting it next time, the lust of gambling.\You don't need this UMR-san?\-Yeah, I'll give it to you.\-How nice!\If I run home and bring more money...\No, I can even ask for Onii-chan's card.\Here!, with this we can set a date for the next time we meet! response:	You seem to be in a good mood.
context: The believe of getting it next time, the lust of gambling.\You don't need this UMR-san?\-Yeah, I'll give it to you.\-How nice!\If I run home and bring more money...\No, I can even ask for Onii-chan's card.\Here!, with this we can set a date for the next time we meet!\You seem to be in a good mood. response:	You think so?
context: You don't need this UMR-san?\-Yeah, I'll give it to you.\-How nice!\If I run home and bring more money...\No, I can even ask for Onii-chan's card.\Here!, with this we can set a date for the next time we meet!\You seem to be in a good mood.\You think so? response:	Cola
context: -Yeah, I'll give it to you.\-How nice!\If I run home and bring more money...\No, I can even ask for Onii-chan's card.\Here!, with this we can set a date for the next time we meet!\You seem to be in a good mood.\You think so?\Cola response:	Beer
context: -How nice!\If I run home and bring more money...\No, I can even ask for Onii-chan's card.\Here!, with this we can set a date for the next time we meet!\You seem to be in a good mood.\You think so?\Cola\Beer response:	Y-y-ya-ya
context: If I run home and bring more money...\No, I can even ask for Onii-chan's card.\Here!, with this we can set a date for the next time we meet!\You seem to be in a good mood.\You think so?\Cola\Beer\Y-y-ya-ya response:	Yakiniku!
context: No, I can even ask for Onii-chan's card.\Here!, with this we can set a date for the next time we meet!\You seem to be in a good mood.\You think so?\Cola\Beer\Y-y-ya-ya\Yakiniku! response:	TL: Meaning grilled meat, is a Japanese term which, in its broadest sense, refers to grilled meat dishes.
context: Here!, with this we can set a date for the next time we meet!\You seem to be in a good mood.\You think so?\Cola\Beer\Y-y-ya-ya\Yakiniku!\TL: Meaning grilled meat, is a Japanese term which, in its broadest sense, refers to grilled meat dishes. response:	O-Onii-chan, going out for yakiniku...
context: You seem to be in a good mood.\You think so?\Cola\Beer\Y-y-ya-ya\Yakiniku!\TL: Meaning grilled meat, is a Japanese term which, in its broadest sense, refers to grilled meat dishes.\O-Onii-chan, going out for yakiniku... response:	Is it ok to spend so much Onii-chan?
context: You think so?\Cola\Beer\Y-y-ya-ya\Yakiniku!\TL: Meaning grilled meat, is a Japanese term which, in its broadest sense, refers to grilled meat dishes.\O-Onii-chan, going out for yakiniku...\Is it ok to spend so much Onii-chan? response:	I-its ok, I just got paid after all.
context: Cola\Beer\Y-y-ya-ya\Yakiniku!\TL: Meaning grilled meat, is a Japanese term which, in its broadest sense, refers to grilled meat dishes.\O-Onii-chan, going out for yakiniku...\Is it ok to spend so much Onii-chan?\I-its ok, I just got paid after all. response:	I can't wait any longer.
context: Beer\Y-y-ya-ya\Yakiniku!\TL: Meaning grilled meat, is a Japanese term which, in its broadest sense, refers to grilled meat dishes.\O-Onii-chan, going out for yakiniku...\Is it ok to spend so much Onii-chan?\I-its ok, I just got paid after all.\I can't wait any longer. response:	Yeah! Eat all you want!
context: Y-y-ya-ya\Yakiniku!\TL: Meaning grilled meat, is a Japanese term which, in its broadest sense, refers to grilled meat dishes.\O-Onii-chan, going out for yakiniku...\Is it ok to spend so much Onii-chan?\I-its ok, I just got paid after all.\I can't wait any longer.\Yeah! Eat all you want! response:	But, it would've been nice to invite Ebina-chan.
