context: Since you understand me, you should know response:	everything I have done is so I can marry Ye Hua.
context: It's been a long time since there's been a festive occasion\in the Celestial Palace.\Su Su!\Ye Hua! Run!\Su Su.\What did you do this time?\I wanted to roast a chicken for you.\Didn't we agree I would do it? response:	You have been cooking for me all this time.
context: in the Celestial Palace.\Su Su!\Ye Hua! Run!\Su Su.\What did you do this time?\I wanted to roast a chicken for you.\Didn't we agree I would do it?\You have been cooking for me all this time. response:	I feel bad about it.
context: Su Su!\Ye Hua! Run!\Su Su.\What did you do this time?\I wanted to roast a chicken for you.\Didn't we agree I would do it?\You have been cooking for me all this time.\I feel bad about it. response:	Our wedding outfits!
context: Ye Hua! Run!\Su Su.\What did you do this time?\I wanted to roast a chicken for you.\Didn't we agree I would do it?\You have been cooking for me all this time.\I feel bad about it.\Our wedding outfits! response:	Don't go!
context: Su Su.\What did you do this time?\I wanted to roast a chicken for you.\Didn't we agree I would do it?\You have been cooking for me all this time.\I feel bad about it.\Our wedding outfits!\Don't go! response:	The fire is so big. Our wedding outfits are long gone.
context: What did you do this time?\I wanted to roast a chicken for you.\Didn't we agree I would do it?\You have been cooking for me all this time.\I feel bad about it.\Our wedding outfits!\Don't go!\The fire is so big. Our wedding outfits are long gone. response:	They were the outfits we wore as newlyweds.
context: I wanted to roast a chicken for you.\Didn't we agree I would do it?\You have been cooking for me all this time.\I feel bad about it.\Our wedding outfits!\Don't go!\The fire is so big. Our wedding outfits are long gone.\They were the outfits we wore as newlyweds. response:	It is once in a lifetime.
context: Didn't we agree I would do it?\You have been cooking for me all this time.\I feel bad about it.\Our wedding outfits!\Don't go!\The fire is so big. Our wedding outfits are long gone.\They were the outfits we wore as newlyweds.\It is once in a lifetime. response:	If you like, we could be newlyweds every day.
context: You have been cooking for me all this time.\I feel bad about it.\Our wedding outfits!\Don't go!\The fire is so big. Our wedding outfits are long gone.\They were the outfits we wore as newlyweds.\It is once in a lifetime.\If you like, we could be newlyweds every day. response:	Ye Hua.
context: I feel bad about it.\Our wedding outfits!\Don't go!\The fire is so big. Our wedding outfits are long gone.\They were the outfits we wore as newlyweds.\It is once in a lifetime.\If you like, we could be newlyweds every day.\Ye Hua. response:	You are very good at sweet talk.
context: Our wedding outfits!\Don't go!\The fire is so big. Our wedding outfits are long gone.\They were the outfits we wore as newlyweds.\It is once in a lifetime.\If you like, we could be newlyweds every day.\Ye Hua.\You are very good at sweet talk. response:	Our house has burned down.
context: Don't go!\The fire is so big. Our wedding outfits are long gone.\They were the outfits we wore as newlyweds.\It is once in a lifetime.\If you like, we could be newlyweds every day.\Ye Hua.\You are very good at sweet talk.\Our house has burned down. response:	Where will we stay tonight?
context: The fire is so big. Our wedding outfits are long gone.\They were the outfits we wore as newlyweds.\It is once in a lifetime.\If you like, we could be newlyweds every day.\Ye Hua.\You are very good at sweet talk.\Our house has burned down.\Where will we stay tonight? response:	Where do you want to live?
context: They were the outfits we wore as newlyweds.\It is once in a lifetime.\If you like, we could be newlyweds every day.\Ye Hua.\You are very good at sweet talk.\Our house has burned down.\Where will we stay tonight?\Where do you want to live? response:	I only want to live here.
context: It is once in a lifetime.\If you like, we could be newlyweds every day.\Ye Hua.\You are very good at sweet talk.\Our house has burned down.\Where will we stay tonight?\Where do you want to live?\I only want to live here. response:	Ye Hua, you don't need to worry about me.
context: If you like, we could be newlyweds every day.\Ye Hua.\You are very good at sweet talk.\Our house has burned down.\Where will we stay tonight?\Where do you want to live?\I only want to live here.\Ye Hua, you don't need to worry about me. response:	I'm not afraid of the fire.
context: Ye Hua.\You are very good at sweet talk.\Our house has burned down.\Where will we stay tonight?\Where do you want to live?\I only want to live here.\Ye Hua, you don't need to worry about me.\I'm not afraid of the fire. response:	I've even seen a black dragon appear.
context: You are very good at sweet talk.\Our house has burned down.\Where will we stay tonight?\Where do you want to live?\I only want to live here.\Ye Hua, you don't need to worry about me.\I'm not afraid of the fire.\I've even seen a black dragon appear. response:	It's really all right. You don't have to worry about me, Ye Hua.
context: Our house has burned down.\Where will we stay tonight?\Where do you want to live?\I only want to live here.\Ye Hua, you don't need to worry about me.\I'm not afraid of the fire.\I've even seen a black dragon appear.\It's really all right. You don't have to worry about me, Ye Hua. response:	You...
context: Where will we stay tonight?\Where do you want to live?\I only want to live here.\Ye Hua, you don't need to worry about me.\I'm not afraid of the fire.\I've even seen a black dragon appear.\It's really all right. You don't have to worry about me, Ye Hua.\You... response:	Where's the fire?
context: Where do you want to live?\I only want to live here.\Ye Hua, you don't need to worry about me.\I'm not afraid of the fire.\I've even seen a black dragon appear.\It's really all right. You don't have to worry about me, Ye Hua.\You...\Where's the fire? response:	Who are you?
context: I only want to live here.\Ye Hua, you don't need to worry about me.\I'm not afraid of the fire.\I've even seen a black dragon appear.\It's really all right. You don't have to worry about me, Ye Hua.\You...\Where's the fire?\Who are you? response:	This...
context: Ye Hua, you don't need to worry about me.\I'm not afraid of the fire.\I've even seen a black dragon appear.\It's really all right. You don't have to worry about me, Ye Hua.\You...\Where's the fire?\Who are you?\This... response:	Don't tell me you're a monster.
