context: The Lord of Numinous Treasures' Heavens Spring response:	can heal a common wound in three to five days.
context: Yesterday...\Yesterday! You're not to be blamed.\I've been thinking...\The Heavenly Lord is prejudiced against me\because you married me in the Mortal Realm without his permission.\Ye Hua...\I want to spend my days here with you.\Just like we did in Mount Junji. response:	All right?
context: Yesterday! You're not to be blamed.\I've been thinking...\The Heavenly Lord is prejudiced against me\because you married me in the Mortal Realm without his permission.\Ye Hua...\I want to spend my days here with you.\Just like we did in Mount Junji.\All right? response:	Tonight... Will you still come to me?
context: I've been thinking...\The Heavenly Lord is prejudiced against me\because you married me in the Mortal Realm without his permission.\Ye Hua...\I want to spend my days here with you.\Just like we did in Mount Junji.\All right?\Tonight... Will you still come to me? response:	No.
context: The Heavenly Lord is prejudiced against me\because you married me in the Mortal Realm without his permission.\Ye Hua...\I want to spend my days here with you.\Just like we did in Mount Junji.\All right?\Tonight... Will you still come to me?\No. response:	I understand.
context: because you married me in the Mortal Realm without his permission.\Ye Hua...\I want to spend my days here with you.\Just like we did in Mount Junji.\All right?\Tonight... Will you still come to me?\No.\I understand. response:	You're the Crown Prince of the Celestial Tribe.
context: Ye Hua...\I want to spend my days here with you.\Just like we did in Mount Junji.\All right?\Tonight... Will you still come to me?\No.\I understand.\You're the Crown Prince of the Celestial Tribe. response:	You have to see to official matters.
context: I want to spend my days here with you.\Just like we did in Mount Junji.\All right?\Tonight... Will you still come to me?\No.\I understand.\You're the Crown Prince of the Celestial Tribe.\You have to see to official matters. response:	If I hold on to you, the others will call me a femme fatale.
context: Just like we did in Mount Junji.\All right?\Tonight... Will you still come to me?\No.\I understand.\You're the Crown Prince of the Celestial Tribe.\You have to see to official matters.\If I hold on to you, the others will call me a femme fatale. response:	That's what they call those women in the plays.
context: All right?\Tonight... Will you still come to me?\No.\I understand.\You're the Crown Prince of the Celestial Tribe.\You have to see to official matters.\If I hold on to you, the others will call me a femme fatale.\That's what they call those women in the plays. response:	There aren't any of those mortal plays in the Celestial Palace.
context: Tonight... Will you still come to me?\No.\I understand.\You're the Crown Prince of the Celestial Tribe.\You have to see to official matters.\If I hold on to you, the others will call me a femme fatale.\That's what they call those women in the plays.\There aren't any of those mortal plays in the Celestial Palace. response:	I have to go now.
context: No.\I understand.\You're the Crown Prince of the Celestial Tribe.\You have to see to official matters.\If I hold on to you, the others will call me a femme fatale.\That's what they call those women in the plays.\There aren't any of those mortal plays in the Celestial Palace.\I have to go now. response:	Your Lordship.
context: I understand.\You're the Crown Prince of the Celestial Tribe.\You have to see to official matters.\If I hold on to you, the others will call me a femme fatale.\That's what they call those women in the plays.\There aren't any of those mortal plays in the Celestial Palace.\I have to go now.\Your Lordship. response:	Report to the Heavenly Lord that the Little Princess of Qing Qiu is fine.
context: You're the Crown Prince of the Celestial Tribe.\You have to see to official matters.\If I hold on to you, the others will call me a femme fatale.\That's what they call those women in the plays.\There aren't any of those mortal plays in the Celestial Palace.\I have to go now.\Your Lordship.\Report to the Heavenly Lord that the Little Princess of Qing Qiu is fine. response:	It's good that she's all right.
context: You have to see to official matters.\If I hold on to you, the others will call me a femme fatale.\That's what they call those women in the plays.\There aren't any of those mortal plays in the Celestial Palace.\I have to go now.\Your Lordship.\Report to the Heavenly Lord that the Little Princess of Qing Qiu is fine.\It's good that she's all right. response:	Has the Little Princess returned to Qing Qiu?
context: If I hold on to you, the others will call me a femme fatale.\That's what they call those women in the plays.\There aren't any of those mortal plays in the Celestial Palace.\I have to go now.\Your Lordship.\Report to the Heavenly Lord that the Little Princess of Qing Qiu is fine.\It's good that she's all right.\Has the Little Princess returned to Qing Qiu? response:	I'll take my leave now.
context: That's what they call those women in the plays.\There aren't any of those mortal plays in the Celestial Palace.\I have to go now.\Your Lordship.\Report to the Heavenly Lord that the Little Princess of Qing Qiu is fine.\It's good that she's all right.\Has the Little Princess returned to Qing Qiu?\I'll take my leave now. response:	My Lord.
context: There aren't any of those mortal plays in the Celestial Palace.\I have to go now.\Your Lordship.\Report to the Heavenly Lord that the Little Princess of Qing Qiu is fine.\It's good that she's all right.\Has the Little Princess returned to Qing Qiu?\I'll take my leave now.\My Lord. response:	Have you found Li Yuan?
context: I have to go now.\Your Lordship.\Report to the Heavenly Lord that the Little Princess of Qing Qiu is fine.\It's good that she's all right.\Has the Little Princess returned to Qing Qiu?\I'll take my leave now.\My Lord.\Have you found Li Yuan? response:	I did but...
context: Your Lordship.\Report to the Heavenly Lord that the Little Princess of Qing Qiu is fine.\It's good that she's all right.\Has the Little Princess returned to Qing Qiu?\I'll take my leave now.\My Lord.\Have you found Li Yuan?\I did but... response:	He's in the Far North.
context: Report to the Heavenly Lord that the Little Princess of Qing Qiu is fine.\It's good that she's all right.\Has the Little Princess returned to Qing Qiu?\I'll take my leave now.\My Lord.\Have you found Li Yuan?\I did but...\He's in the Far North. response:	The Far North?
context: It's good that she's all right.\Has the Little Princess returned to Qing Qiu?\I'll take my leave now.\My Lord.\Have you found Li Yuan?\I did but...\He's in the Far North.\The Far North? response:	Yes, Li Yuan has raised a rebellion in the Far North.
context: Has the Little Princess returned to Qing Qiu?\I'll take my leave now.\My Lord.\Have you found Li Yuan?\I did but...\He's in the Far North.\The Far North?\Yes, Li Yuan has raised a rebellion in the Far North. response:	Ghost Lord.
context: I'll take my leave now.\My Lord.\Have you found Li Yuan?\I did but...\He's in the Far North.\The Far North?\Yes, Li Yuan has raised a rebellion in the Far North.\Ghost Lord. response:	The Heavenly Lord invites you to the Grand Hall for a discussion.
context: My Lord.\Have you found Li Yuan?\I did but...\He's in the Far North.\The Far North?\Yes, Li Yuan has raised a rebellion in the Far North.\Ghost Lord.\The Heavenly Lord invites you to the Grand Hall for a discussion. response:	I heard you.
context: Have you found Li Yuan?\I did but...\He's in the Far North.\The Far North?\Yes, Li Yuan has raised a rebellion in the Far North.\Ghost Lord.\The Heavenly Lord invites you to the Grand Hall for a discussion.\I heard you. response:	- Where are you going? - The Grand Hall.
context: I did but...\He's in the Far North.\The Far North?\Yes, Li Yuan has raised a rebellion in the Far North.\Ghost Lord.\The Heavenly Lord invites you to the Grand Hall for a discussion.\I heard you.\- Where are you going? - The Grand Hall. response:	I'm meeting the Heavenly Lord.
context: He's in the Far North.\The Far North?\Yes, Li Yuan has raised a rebellion in the Far North.\Ghost Lord.\The Heavenly Lord invites you to the Grand Hall for a discussion.\I heard you.\- Where are you going? - The Grand Hall.\I'm meeting the Heavenly Lord. response:	I don't believe that!
context: The Far North?\Yes, Li Yuan has raised a rebellion in the Far North.\Ghost Lord.\The Heavenly Lord invites you to the Grand Hall for a discussion.\I heard you.\- Where are you going? - The Grand Hall.\I'm meeting the Heavenly Lord.\I don't believe that! response:	Why would the Heavenly Lord see you?
context: Yes, Li Yuan has raised a rebellion in the Far North.\Ghost Lord.\The Heavenly Lord invites you to the Grand Hall for a discussion.\I heard you.\- Where are you going? - The Grand Hall.\I'm meeting the Heavenly Lord.\I don't believe that!\Why would the Heavenly Lord see you? response:	You're not from the Celestial Palace.
context: Ghost Lord.\The Heavenly Lord invites you to the Grand Hall for a discussion.\I heard you.\- Where are you going? - The Grand Hall.\I'm meeting the Heavenly Lord.\I don't believe that!\Why would the Heavenly Lord see you?\You're not from the Celestial Palace. response:	What important matter could he possibly have to discuss with you?
context: The Heavenly Lord invites you to the Grand Hall for a discussion.\I heard you.\- Where are you going? - The Grand Hall.\I'm meeting the Heavenly Lord.\I don't believe that!\Why would the Heavenly Lord see you?\You're not from the Celestial Palace.\What important matter could he possibly have to discuss with you? response:	You're obviously going to see that mortal!
context: I heard you.\- Where are you going? - The Grand Hall.\I'm meeting the Heavenly Lord.\I don't believe that!\Why would the Heavenly Lord see you?\You're not from the Celestial Palace.\What important matter could he possibly have to discuss with you?\You're obviously going to see that mortal! response:	You're bullying me because I can't leave this house.
context: - Where are you going? - The Grand Hall.\I'm meeting the Heavenly Lord.\I don't believe that!\Why would the Heavenly Lord see you?\You're not from the Celestial Palace.\What important matter could he possibly have to discuss with you?\You're obviously going to see that mortal!\You're bullying me because I can't leave this house. response:	I can't hold you back.
context: I'm meeting the Heavenly Lord.\I don't believe that!\Why would the Heavenly Lord see you?\You're not from the Celestial Palace.\What important matter could he possibly have to discuss with you?\You're obviously going to see that mortal!\You're bullying me because I can't leave this house.\I can't hold you back. response:	That's enough!
context: I don't believe that!\Why would the Heavenly Lord see you?\You're not from the Celestial Palace.\What important matter could he possibly have to discuss with you?\You're obviously going to see that mortal!\You're bullying me because I can't leave this house.\I can't hold you back.\That's enough! response:	I'll tell you why the Heavenly Lord asked to see me.
context: Why would the Heavenly Lord see you?\You're not from the Celestial Palace.\What important matter could he possibly have to discuss with you?\You're obviously going to see that mortal!\You're bullying me because I can't leave this house.\I can't hold you back.\That's enough!\I'll tell you why the Heavenly Lord asked to see me. response:	It's because you stole the military seal
context: You're not from the Celestial Palace.\What important matter could he possibly have to discuss with you?\You're obviously going to see that mortal!\You're bullying me because I can't leave this house.\I can't hold you back.\That's enough!\I'll tell you why the Heavenly Lord asked to see me.\It's because you stole the military seal response:	and Yan Zhi saved Li Yuan. Li Yuan escaped.
context: What important matter could he possibly have to discuss with you?\You're obviously going to see that mortal!\You're bullying me because I can't leave this house.\I can't hold you back.\That's enough!\I'll tell you why the Heavenly Lord asked to see me.\It's because you stole the military seal\and Yan Zhi saved Li Yuan. Li Yuan escaped. response:	They raised a rebellion in the Far North!
context: You're obviously going to see that mortal!\You're bullying me because I can't leave this house.\I can't hold you back.\That's enough!\I'll tell you why the Heavenly Lord asked to see me.\It's because you stole the military seal\and Yan Zhi saved Li Yuan. Li Yuan escaped.\They raised a rebellion in the Far North! response:	A rebellion?
context: You're bullying me because I can't leave this house.\I can't hold you back.\That's enough!\I'll tell you why the Heavenly Lord asked to see me.\It's because you stole the military seal\and Yan Zhi saved Li Yuan. Li Yuan escaped.\They raised a rebellion in the Far North!\A rebellion? response:	Should the Heavenly Lord blame anyone for it
context: I can't hold you back.\That's enough!\I'll tell you why the Heavenly Lord asked to see me.\It's because you stole the military seal\and Yan Zhi saved Li Yuan. Li Yuan escaped.\They raised a rebellion in the Far North!\A rebellion?\Should the Heavenly Lord blame anyone for it response:	I won't be able to save you if he decides to punish you.
context: That's enough!\I'll tell you why the Heavenly Lord asked to see me.\It's because you stole the military seal\and Yan Zhi saved Li Yuan. Li Yuan escaped.\They raised a rebellion in the Far North!\A rebellion?\Should the Heavenly Lord blame anyone for it\I won't be able to save you if he decides to punish you. response:	Stay in this room!
context: I'll tell you why the Heavenly Lord asked to see me.\It's because you stole the military seal\and Yan Zhi saved Li Yuan. Li Yuan escaped.\They raised a rebellion in the Far North!\A rebellion?\Should the Heavenly Lord blame anyone for it\I won't be able to save you if he decides to punish you.\Stay in this room! response:	It felt great to be cuddled in Lord Dong Hua's arms...
context: It's because you stole the military seal\and Yan Zhi saved Li Yuan. Li Yuan escaped.\They raised a rebellion in the Far North!\A rebellion?\Should the Heavenly Lord blame anyone for it\I won't be able to save you if he decides to punish you.\Stay in this room!\It felt great to be cuddled in Lord Dong Hua's arms... response:	But isn't it wrong to deceive my own savior?
context: and Yan Zhi saved Li Yuan. Li Yuan escaped.\They raised a rebellion in the Far North!\A rebellion?\Should the Heavenly Lord blame anyone for it\I won't be able to save you if he decides to punish you.\Stay in this room!\It felt great to be cuddled in Lord Dong Hua's arms...\But isn't it wrong to deceive my own savior? response:	His Lordship?
context: They raised a rebellion in the Far North!\A rebellion?\Should the Heavenly Lord blame anyone for it\I won't be able to save you if he decides to punish you.\Stay in this room!\It felt great to be cuddled in Lord Dong Hua's arms...\But isn't it wrong to deceive my own savior?\His Lordship? response:	Come here.
context: A rebellion?\Should the Heavenly Lord blame anyone for it\I won't be able to save you if he decides to punish you.\Stay in this room!\It felt great to be cuddled in Lord Dong Hua's arms...\But isn't it wrong to deceive my own savior?\His Lordship?\Come here. response:	The Heavenly Lord is furious?
context: Should the Heavenly Lord blame anyone for it\I won't be able to save you if he decides to punish you.\Stay in this room!\It felt great to be cuddled in Lord Dong Hua's arms...\But isn't it wrong to deceive my own savior?\His Lordship?\Come here.\The Heavenly Lord is furious? response:	Exactly.
context: I won't be able to save you if he decides to punish you.\Stay in this room!\It felt great to be cuddled in Lord Dong Hua's arms...\But isn't it wrong to deceive my own savior?\His Lordship?\Come here.\The Heavenly Lord is furious?\Exactly. response:	Both the Ghost Lord and the Crown Prince were summoned.
context: Stay in this room!\It felt great to be cuddled in Lord Dong Hua's arms...\But isn't it wrong to deceive my own savior?\His Lordship?\Come here.\The Heavenly Lord is furious?\Exactly.\Both the Ghost Lord and the Crown Prince were summoned. response:	It says on the scroll that the Scarlet Flame Golden Lion appeared
context: It felt great to be cuddled in Lord Dong Hua's arms...\But isn't it wrong to deceive my own savior?\His Lordship?\Come here.\The Heavenly Lord is furious?\Exactly.\Both the Ghost Lord and the Crown Prince were summoned.\It says on the scroll that the Scarlet Flame Golden Lion appeared response:	in the military camp of Far North's rebel army.
context: But isn't it wrong to deceive my own savior?\His Lordship?\Come here.\The Heavenly Lord is furious?\Exactly.\Both the Ghost Lord and the Crown Prince were summoned.\It says on the scroll that the Scarlet Flame Golden Lion appeared\in the military camp of Far North's rebel army. response:	The Scarlet Flame Golden Lion?
